TCOA_Company,TCOA_Cabang,TCOA_Jenis_transaksi,TCOA_Traksaksi_Debit,TCOA_Transaksi_Credit,TCOA_Mutasi_Debit,TCOA_Mutasi_Credit,TCOA_CreateDate,TCOA_CreateUser,TCOA_CreateTIme,TCOA_ModifyUser,TCOA_ModifyDate,TCOA_ModifyTime
------------,-----------,--------------------,--------------------,---------------------,-----------------,------------------,-----------------------,---------------,---------------,---------------,-----------------------,---------------
01,05,000,,,,,NULL,NULL,NULL,NULL,NULL,NULL
01,05,100,130100000,130100001,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,101,130100000,130100002,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,102,130100000,120500000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,103,130100000,130100002,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,104,130100000,400100100,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,105,130100000,830000000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,108,130100000,150000006,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,109,130100000,150000007,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,110,130100000,150000008,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,111,130100000,150000009,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,112,130100000,709000013,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,113,130100000,150000010,A01,A01,2013-01-11 09:54:35.983,DARMAWAN,09:54:35,NULL,NULL,NULL
01,05,200,130100001,210100000,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,200,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,200,720000008,,C03,,2013-07-31 00:00:00.000,SETYO,080856,,1901-01-01 00:00:00.000,000000
01,05,200,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,201,130100001,210300000,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,201,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,201,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,202,130100001,210300001,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,202,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,202,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,203,130100001,210300002,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,203,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,203,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,204,130100001,210300003,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,204,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,204,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,205,130100001,210300004,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,205,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,205,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,206,130100001,210300005,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,206,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,206,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,207,130100001,210300006,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,207,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,207,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,208,130100001,210300007,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,208,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,208,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,209,130100001,210300008,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,209,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,209,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,210,130100001,210300009,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,210,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,210,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,211,130100001,210300010,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,211,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,211,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,212,130100001,210300011,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,212,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,212,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,213,130100001,210300012,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,213,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,213,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,214,130100001,210300013,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,214,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,214,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,215,130100001,210300014,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,215,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,215,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,216,130100001,210300015,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,216,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,216,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,217,130100001,210300016,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,217,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,217,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,218,130100001,210300017,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,218,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,218,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,219,130100001,210300018,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,219,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,219,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,220,130100001,210300019,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,220,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,220,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,221,130100001,210300020,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,221,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,221,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,222,130100001,210300021,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,222,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,222,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,223,130100001,210300022,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,223,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,223,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,224,130100001,210300023,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,224,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,224,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,225,130100001,210300024,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,225,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,225,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,226,130100001,210300025,A01,D01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,226,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,226,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,250,210100000,100310000,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,251,210300000,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,252,210300001,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,253,210300002,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
